Jeleniowa,50.0610468,19.8688859
Przegorzalska,50.0481508,19.8723849
Starowolska,50.0605035,19.8710097
Katowicka,50.0826293,19.8876788
Wernyhory,50.0824537,19.8892577
Jabłonkowska,50.0821459,19.8880180
Stawowa,50.0958566,19.8876346
Ludwika Solskiego,50.0854183,19.9457722
Andrzeja Frycza-Modrzewskiego,50.0867951,19.9463412
Józefa Łepkowskiego,50.0923594,19.9632245
Rybianka,50.0918540,19.9595275
Bolesława Czerwieńskiego,50.0854914,19.9035919
B3,50.1059720,19.9825020
Półłanki,50.0532313,20.0497699
Szparagowa,50.0449918,20.0450449
Jerzego Giedroycia,50.0643513,20.0816329
Stanisławy Dowgiałło,50.0535151,20.0491381
Rzepakowa,50.0695973,20.1514057
Wyciąska,50.0706151,20.1622966
Adama Staszczyka,50.0757962,19.9041855
Sołtysa Dytmara,50.0802563,19.8923215
Jadwigi z Łobzowa,50.0750032,19.8999306
Cicha,50.0753417,19.8994608
Teofila Lenartowicza,50.0696797,19.9282558
Gzymsików,50.0723107,19.9289045
Henryka Sienkiewicza,50.0738797,19.9284707
Loretańska,50.0630382,19.9303250
Garncarska,50.0601188,19.9276321
Czysta,50.0638601,19.9272068
Profesora Michała Bobrzyńskiego,50.0258047,19.9035826
Tytusa Czyżewskiego,50.0814690,19.9105586
Zakliki z Mydlnik,50.0778430,19.8485767
Stanisława Konarskiego,50.0670487,19.9203834
Tadeusza Kościuszki,50.0527766,19.9155297
Wodociągowa,50.0511909,19.8954245
Skarbowa,50.0634252,19.9267247
Wenecja,50.0614341,19.9261541
Retoryka,50.0579475,19.9281511
Marszałka Józefa Piłsudskiego,50.0594627,19.9267257
Czesława Miłosza,50.0762913,19.9473386
Aleksandra Lubomirskiego,50.0668293,19.9586363
Wita Stwosza,50.0719680,19.9479888
Pawia,50.0647223,19.9449648
Bohdana Zaleskiego,50.0679808,19.9599009
Olszyny,50.0727847,19.9653115
Ogrodowa,50.0685677,19.9447858
Zacisze,50.0668081,19.9435701
Topolowa,50.0672660,19.9504466
Mydlnicka,50.0631250,19.9026683
Hamernia,50.0683802,19.8874516
Rondo Polsadu,50.0851741,19.9715299
Młyńska,50.0847454,19.9704457
Macieja Miechowity,50.0838698,19.9701281
Stanisława ze Skalbmierza,50.0804392,19.9688490
Rusznikarska - Deptak,50.0856861,19.9282685
Stanisława Grochowiaka,50.0931516,19.9249283
Generała Józefa Olszyny-Wilczyńskiego,50.0915171,19.9068582
Pękowicka,50.0933899,19.9173444
Stelmachów,50.0948501,19.9091037
Generała Wojciecha Kiwerskiego,50.0942460,19.9064800
Rogatka,50.0783887,19.9485090
Mariana Langiewicza,50.0791033,19.9463239
Antoniego Józefa Madalińskiego,50.0521181,19.9277682
Odlewnicza,50.0704121,19.9002995
Mogilska,50.0660173,19.9620371
Aleja Juliusza Słowackiego,50.0732834,19.9440638
Zabłocie,50.0499214,19.9633927
Bolesława Limanowskiego,50.0426265,19.9606353
Aleja Powstańców Śląskich,50.0421813,19.9609597
Na Zjeździe,50.0484507,19.9541552
Ujastek Mogilski,50.0743492,20.0629529
Bolesława Czuchajowskiego,50.0783049,20.0298095
Reduta,50.0990635,19.9743044
Zygmunta Glogera,50.0989167,19.9298561
Josepha Conrada,50.0895287,19.9072303
Kazimierza Wyki,50.0923353,19.9223963
Gaik,50.1084814,19.8779865
Jordanowska,50.0950390,19.9116941
Zwycięstwa,50.0634977,19.9794710
Legionów Józefa Piłsudskiego,50.0448709,19.9455819
Karola Rollego,50.0441616,19.9431609
Przy Moście,50.0450268,19.9460663
Staromostowa,50.0452793,19.9474743
Kalwaryjska,50.0368678,19.9410272
Rynek Podgórski,50.0445084,19.9484555
Rondo Antoniego Matecznego,50.0364725,19.9409473
Hieronima Wietora,50.0467185,19.9410221
Rybaki,50.0456661,19.9424346
Klasztorna,50.0581214,20.0505132
Kotlarska,50.0536724,19.9603568
Kazimierza Brodzińskiego,50.0453766,19.9481019
Węgierska,50.0442757,19.9510084
Nadwiślańska,50.0459980,19.9491143
Plac Bohaterów Getta,50.0463635,19.9545115
Krakusa,50.0471386,19.9526342
Igołomska,50.0802576,20.1876685
Stoczniowców,50.0498574,19.9805435
Księdza Józefa Tischnera,50.0288223,19.9378841
Aleksandra Fredry,50.0284130,19.9409567
Stanisława Staszica,50.0708885,19.9331032
Oskara Kolberga,50.0717239,19.9344213
Jerzego Żuławskiego,50.0725163,19.9347456
Lubelska,50.0741591,19.9333221
Krzywa,50.0675979,19.9391020
Krótka,50.0679970,19.9398469
Rondo Krzysztofa Kozłowskiego,50.0689100,19.9494813
Świętego Krzyża,50.0622171,19.9425275
Świętego Marka,50.0646663,19.9369586
Aleja Lipowa,50.0191964,19.8036314
Pomorska,50.0707608,19.9250412
Józefitów,50.0699576,19.9234292
Juliusza Lea,50.0734409,19.8889140
Plac Inwalidów,50.0697171,19.9243741
Fryderyka Chopina,50.0680621,19.9195145
Jana Kochanowskiego,50.0657556,19.9281864
Piotra Michałowskiego,50.0664297,19.9285550
Aleja Adama Mickiewicza,50.0692377,19.9263143
Aleja Zygmunta Krasińskiego,50.0589638,19.9250800
Jana Sobieskiego,50.0685343,19.9310271
Kremerowska,50.0676954,19.9298530
Reformacka,50.0648071,19.9367937
Karola Olszewskiego,50.0602465,19.9338396
Poselska,50.0579459,19.9358517
Kanonicza,50.0562819,19.9372327
Droga do Zamku,50.0543143,19.9382824
Sienna,50.0612633,19.9384072
Józefa Szujskiego,50.0640834,19.9290922
Napoleona Cybulskiego,50.0619006,19.9266791
Plac Generała Władysława Sikorskiego,50.0610167,19.9287084
Czapskich,50.0606123,19.9300704
Kadrówki,50.0607731,19.9220004
Mały Rynek,50.0612641,19.9401474
Mikołajska,50.0614154,19.9413346
Plac Świętej Marii Magdaleny,50.0568115,19.9378458
Smoleńsk,50.0591206,19.9311246
Felicjanek,50.0586775,19.9294132
Mała,50.0576679,19.9305422
Wygoda,50.0571844,19.9279826
Kazimierza Morawskiego,50.0565890,19.9283165
Emila Zegadłowicza,50.0580057,19.9291141
Tarłowska,50.0570139,19.9318896
